capitales	proposition	occurrences	accent_possible
ARENE	Arène	66	oui
TEAM	Team	51	oui
JOHTO	Johto	46	
KANTO	Kanto	44	oui
CHEN	Chen	40	oui
ORME	Orme	38	
BUENA	Buena	34	oui
BALL	Ball	31	
BALLS	Balls	30	
LAC	Lac	28	
LEO	Léo	23	
DOUBLONVILLE	Doublonville	22	
LIGUE	Ligue	21	
MAGNET	Magnet	20	oui
EME	Eme	20	oui
PETER	Peter	20	oui
BADGES	Badges	19	oui
LULA	Lula	18	
FARGAS	Fargas	18	
EXPRESS	Express	18	oui
CARMIN	Carmin	16	
PARC	Parc	14	
AQUARIA	Aquaria	13	
DIRECTEUR	Directeur	13	oui
#MATOS	#matos	13	
SANDRA	Sandra	13	oui
JASMINE	Jasmine	13	
PENSION	Pension	12	oui
CHENES	Chênes	12	oui
MONT	Mont	12	
ONDINE	Ondine	11	
ARENES	Arènes	11	oui
CRAMOIS'	Cramois'	11	oui
BAIES	Baies	10	oui
NINA	Nina	10	
BOURG	Bourg	10	
CHAMPIONNE	Championne	10	oui
GIOVANNI	Giovanni	10	oui
BADGE	Badge	10	
ERIKA	Erika	10	oui
COPIEUSE	Copieuse	9	
ANTRE	Antre	9	oui
COMMERCIAL	Commercial	9	oui
DOUBLON	Doublon	9	
JETON	Jeton	9	oui
LUCIE	Lucie	9	
CHRONIQUE	Chronique	8	
CHAMPIONS	Champions	8	oui
ALBERT	Albert	8	oui
JEANNINE	Jeannine	8	oui
SYLPHE	Sylphe	8	
PISTE	Piste	8	
JEROME	Jérôme	8	oui
ASTUCE	Astuce	8	
BOB	Bob	8	
CASINO	Casino	7	
EUSINE	Eusine	7	oui
STATION	Station	7	
CYCLABLE	Cyclable	7	
HOMER	Homer	7	oui
VANESSA	Vanessa	7	oui
LABO	Labo	6	
GEON	Geon	6	
MORTIMER	Mortimer	6	oui
MEUMEU	Meumeu	6	oui
COMMER	Commer	6	oui
ER	Er	6	oui
FREDO	Frédo	6	oui
PHARY	Phary	6	
PALETTE	Palette	6	oui
CLUB	Club	6	
MARIE	Marie	6	
SAMUEL	Samuel	6	oui
IRENE	Irène	6	oui
AMY	Amy	6	oui
MAJOR	Major	6	
CLONE	Clone	5	
ARE	Are	5	
SAFARI	Safari	5	
PATRON	Patron	5	
DIMITRI	Dimitri	5	
CREUSET	Creuset	5	oui
KO	Ko	4	
PETRA	Petra	4	oui
BLUE	Blue	4	
ANTENNE	Antenne	4	oui
GRIOTTE	Griotte	4	
PHARMACIE	Pharmacie	4	
ENTREE	Entrée	4	oui
GS	Gs	4	
SELENITE	Selenite	4	oui
CANNES	Cannes	4	oui
CAVE	Cave	4	
MARIA	Maria	4	
TOURB'	Tourb'	4	
DOJO	Dojo	4	
AUGUSTE	Auguste	4	
EXP	Exp	3	oui
CENTRES	Centres	3	oui
BICYCLETTES	Bicyclettes	3	oui
ADMINISTRATION	Administration	3	
FLEURISTE	Fleuriste	3	
COUPON	Coupon	3	
ERIN	Erin	3	oui
THEOPHILE	Théophile	3	oui
RANCH	Ranch	3	oui
NOIGRUME	Noigrume	3	
LETTRES	Lettres	3	oui
PUITS	Puits	3	
CHAM	Cham	3	oui
NIDORAN	Nidoran	3	oui
CHUCK	Chuck	3	
CAPITAINE	Capitaine	3	
RDC	Rdc	3	
MAGN	Magn	3	
AUTEL	Autel	3	oui
NOIGRUMES	Noigrumes	3	oui
PRODUCTION	Production	3	
NORD	Nord	3	
JEAN	Jean	3	oui
RAOUL	Raoul	3	
NICK	Nick	3	
MARCEL	Marcel	3	oui
FOULQUE	Foulque	3	
RENE	Rene	3	oui
SANDY	Sandy	3	oui
ARNAUD	Arnaud	3	
CYRIL	Cyril	3	
BUREAUX	Bureaux	3	
VENEPICI	Venepici	3	oui
FEUI	Feui	3	
NOIRES	Noires	3	oui
SAM	Sam	2	oui
SEB	Seb	2	oui
ACADEMIE	Académie	2	oui
SALON	Salon	2	
BLONVILLE	Blonville	2	
RUNE	Rune	2	
PRESENTATEUR	Présentateur	2	oui
CORDE	Corde	2	
EFFACE	Efface	2	oui
HECTOR	Hector	2	oui
CEN	Cen	2	oui
DREE	Dree	2	oui
PION	Pion	2	
CELADO	Celado	2	oui
POLE	Pôle	2	
CHERCH'	Cherch'	2	oui
MASTER	Master	2	oui
START	Start	2	
KOGA	Koga	2	
PRESIDENT	Président	2	oui
COLISEE	Colisée	2	oui
LETR	Letr	2	oui
PLATEAU	Plateau	2	oui
INDIGO	Indigo	2	
VIVE	Vive	2	
DEX	Dex	2	oui
RED	Red	2	oui
COOOOMBAAAAT	Coooombaaaat	2	
CAVES	Caves	2	oui
TO	To	2	
FEDERATION	Fédération	2	oui
MORGANE	Morgane	2	oui
ROYALE	Royale	2	
FUJI	Fuji	2	
HALL	Hall	2	
TRIO	Trio	2	
SAGES	Sages	2	oui
#RUS	#rus	2	
MINOISEAUI	Minoiseaui	2	
OISEAUI	Oiseaui	2	
RATS	Rats	2	
SERPENTI	Serpenti	2	oui
SOURISI	Sourisi	2	
CHAMPIGNONL	Champignonl	2	oui
CANARDI	Canardi	2	oui
PORSINGEI	Porsingei	2	
PSYI	Psyi	2	
COLOSSEI	Colossei	2	
GAZI	Gazi	2	
CARAPACEI	Carapacei	2	
DRAGONO	Dragono	2	
PISSENLITM	Pissenlitm	2	oui
