categorie	anglais	francais	note	source
Capacité	ABSORB	VOL-VIE		data/moves/names.asm
Capacité	ACID	ACIDE		data/moves/names.asm
Capacité	ACID ARMOR	ACIDARMURE		data/moves/names.asm
Capacité	AEROBLAST	AEROBLAST	identique	data/moves/names.asm
Capacité	AGILITY	HATE		data/moves/names.asm
Capacité	AMNESIA	AMNESIE		data/moves/names.asm
Capacité	ANCIENTPOWER	POUV.ANTIQUE		data/moves/names.asm
Capacité	ATTRACT	ATTRACTION		data/moves/names.asm
Capacité	AURORA BEAM	ONDE BOREALE		data/moves/names.asm
Capacité	BARRAGE	PILONNAGE		data/moves/names.asm
Capacité	BARRIER	BOUCLIER		data/moves/names.asm
Capacité	BATON PASS	RELAIS		data/moves/names.asm
Capacité	BEAT UP	BASTON		data/moves/names.asm
Capacité	BELLY DRUM	COGNOBIDON		data/moves/names.asm
Capacité	BIDE	PATIENCE		data/moves/names.asm
Capacité	BIND	ETREINTE		data/moves/names.asm
Capacité	BITE	MORSURE		data/moves/names.asm
Capacité	BLIZZARD	BLIZZARD	identique	data/moves/names.asm
Capacité	BODY SLAM	PLAQUAGE		data/moves/names.asm
Capacité	BONE CLUB	MASSD'OS		data/moves/names.asm
Capacité	BONE RUSH	CHARGE-OS		data/moves/names.asm
Capacité	BONEMERANG	OSMERANG		data/moves/names.asm
Capacité	BUBBLE	ECUME		data/moves/names.asm
Capacité	BUBBLEBEAM	BULLES D'O		data/moves/names.asm
Capacité	CHARM	CHARME		data/moves/names.asm
Capacité	CLAMP	CLAQUOIR		data/moves/names.asm
Capacité	COMET PUNCH	POING COMETE		data/moves/names.asm
Capacité	CONFUSE RAY	ONDE FOLIE		data/moves/names.asm
Capacité	CONFUSION	CHOC MENTAL		data/moves/names.asm
Capacité	CONSTRICT	CONSTRICTION		data/moves/names.asm
Capacité	CONVERSION	ADAPTATION		data/moves/names.asm
Capacité	CONVERSION2	ADAPTATION2		data/moves/names.asm
Capacité	COTTON SPORE	SPORE COTON		data/moves/names.asm
Capacité	COUNTER	RIPOSTE		data/moves/names.asm
Capacité	CRABHAMMER	PINCE-MASSE		data/moves/names.asm
Capacité	CROSS CHOP	COUP-CROIX		data/moves/names.asm
Capacité	CRUNCH	MACHOUILLE		data/moves/names.asm
Capacité	CURSE	MALEDICTION		data/moves/names.asm
Capacité	CUT	COUPE		data/moves/names.asm
Capacité	DEFENSE CURL	BOUL'ARMURE		data/moves/names.asm
Capacité	DESTINY BOND	PRLVT DESTIN		data/moves/names.asm
Capacité	DETECT	DETECTION		data/moves/names.asm
Capacité	DIG	TUNNEL		data/moves/names.asm
Capacité	DISABLE	ENTRAVE		data/moves/names.asm
Capacité	DIZZY PUNCH	UPPERCUT		data/moves/names.asm
Capacité	DOUBLE KICK	DOUBLE PIED		data/moves/names.asm
Capacité	DOUBLE TEAM	REFLET		data/moves/names.asm
Capacité	DOUBLE-EDGE	DAMOCLES		data/moves/names.asm
Capacité	DOUBLESLAP	TORGNOLES		data/moves/names.asm
Capacité	DRAGON RAGE	DRACO-RAGE		data/moves/names.asm
Capacité	DRAGONBREATH	DRACOSOUFFLE		data/moves/names.asm
Capacité	DREAM EATER	DEVOREVE		data/moves/names.asm
Capacité	DRILL PECK	BEC VRILLE		data/moves/names.asm
Capacité	DYNAMICPUNCH	DYNAMOPOING		data/moves/names.asm
Capacité	EARTHQUAKE	SEISME		data/moves/names.asm
Capacité	EGG BOMB	BOMB'OEUF		data/moves/names.asm
Capacité	EMBER	FLAMMECHE		data/moves/names.asm
Capacité	ENCORE	ENCORE	identique	data/moves/names.asm
Capacité	ENDURE	TENACITE		data/moves/names.asm
Capacité	EXPLOSION	EXPLOSION	identique	data/moves/names.asm
Capacité	EXTREMESPEED	VIT.EXTREME		data/moves/names.asm
Capacité	FAINT ATTACK	FEINTE		data/moves/names.asm
Capacité	FALSE SWIPE	FAUX-CHAGE		data/moves/names.asm
Capacité	FIRE BLAST	DEFLAGRATION		data/moves/names.asm
Capacité	FIRE PUNCH	POING DE FEU		data/moves/names.asm
Capacité	FIRE SPIN	DANSEFLAMME		data/moves/names.asm
Capacité	FISSURE	ABIME		data/moves/names.asm
Capacité	FLAIL	FLEAU		data/moves/names.asm
Capacité	FLAME WHEEL	ROUE DE FEU		data/moves/names.asm
Capacité	FLAMETHROWER	LANCE-FLAMME		data/moves/names.asm
Capacité	FLASH	FLASH	identique	data/moves/names.asm
Capacité	FLY	VOL		data/moves/names.asm
Capacité	FOCUS ENERGY	PUISSANCE		data/moves/names.asm
Capacité	FORESIGHT	CLAIRVOYANCE		data/moves/names.asm
Capacité	FRUSTRATION	FRUSTRATION	identique	data/moves/names.asm
Capacité	FURY ATTACK	FURIE		data/moves/names.asm
Capacité	FURY CUTTER	TAILLADE		data/moves/names.asm
Capacité	FURY SWIPES	COMBO-GRIFFE		data/moves/names.asm
Capacité	FUTURE SIGHT	PRESCIENCE		data/moves/names.asm
Capacité	GIGA DRAIN	GIGA-SANGSUE		data/moves/names.asm
Capacité	GLARE	INTIMIDATION		data/moves/names.asm
Capacité	GROWL	RUGISSEMENT		data/moves/names.asm
Capacité	GROWTH	CROISSANCE		data/moves/names.asm
Capacité	GUILLOTINE	GUILLOTINE	identique	data/moves/names.asm
Capacité	GUST	TORNADE		data/moves/names.asm
Capacité	HARDEN	ARMURE		data/moves/names.asm
Capacité	HAZE	BUEE NOIRE		data/moves/names.asm
Capacité	HEADBUTT	COUP D'BOULE		data/moves/names.asm
Capacité	HEAL BELL	GLAS DE SOIN		data/moves/names.asm
Capacité	HI JUMP KICK	PIED VOLTIGE		data/moves/names.asm
Capacité	HIDDEN POWER	PUIS. CACHEE		data/moves/names.asm
Capacité	HORN ATTACK	KOUD'KORNE		data/moves/names.asm
Capacité	HORN DRILL	EMPAL'KORNE		data/moves/names.asm
Capacité	HYDRO PUMP	HYDROCANON		data/moves/names.asm
Capacité	HYPER BEAM	ULTRALASER		data/moves/names.asm
Capacité	HYPER FANG	CROC DE MORT		data/moves/names.asm
Capacité	HYPNOSIS	HYPNOSE		data/moves/names.asm
Capacité	ICE BEAM	LASER GLACE		data/moves/names.asm
Capacité	ICE PUNCH	POINGLACE		data/moves/names.asm
Capacité	ICY WIND	VENT GLACE		data/moves/names.asm
Capacité	IRON TAIL	QUEUE DE FER		data/moves/names.asm
Capacité	JUMP KICK	PIED SAUTE		data/moves/names.asm
Capacité	KARATE CHOP	POING-KARATE		data/moves/names.asm
Capacité	KINESIS	TELEKINESIE		data/moves/names.asm
Capacité	LEECH LIFE	VAMPIRISME		data/moves/names.asm
Capacité	LEECH SEED	VAMPIGRAINE		data/moves/names.asm
Capacité	LEER	GROZ'YEUX		data/moves/names.asm
Capacité	LICK	LECHOUILLE		data/moves/names.asm
Capacité	LIGHT SCREEN	MUR LUMIERE		data/moves/names.asm
Capacité	LOCK-ON	VERROUILLAGE		data/moves/names.asm
Capacité	LOVELY KISS	GROBISOU		data/moves/names.asm
Capacité	LOW KICK	BALAYAGE		data/moves/names.asm
Capacité	MACH PUNCH	MACH PUNCH	identique	data/moves/names.asm
Capacité	MAGNITUDE	AMPLEUR		data/moves/names.asm
Capacité	MEAN LOOK	REGARD NOIR		data/moves/names.asm
Capacité	MEDITATE	YOGA		data/moves/names.asm
Capacité	MEGA DRAIN	MEGA-SANGSUE		data/moves/names.asm
Capacité	MEGA KICK	ULTIMAWASHI		data/moves/names.asm
Capacité	MEGA PUNCH	ULTIMAPOING		data/moves/names.asm
Capacité	MEGAHORN	MEGACORNE		data/moves/names.asm
Capacité	METAL CLAW	GRIFFE ACIER		data/moves/names.asm
Capacité	METRONOME	METRONOME	identique	data/moves/names.asm
Capacité	MILK DRINK	LAIT A BOIRE		data/moves/names.asm
Capacité	MIMIC	COPIE		data/moves/names.asm
Capacité	MIND READER	LIRE-ESPRIT		data/moves/names.asm
Capacité	MINIMIZE	LILLIPUT		data/moves/names.asm
Capacité	MIRROR COAT	VOILE MIROIR		data/moves/names.asm
Capacité	MIRROR MOVE	MIMIQUE		data/moves/names.asm
Capacité	MIST	BRUME		data/moves/names.asm
Capacité	MOONLIGHT	RAYON LUNE		data/moves/names.asm
Capacité	MORNING SUN	AURORE		data/moves/names.asm
Capacité	MUD-SLAP	COUD'BOUE		data/moves/names.asm
Capacité	NIGHT SHADE	TENEBRES		data/moves/names.asm
Capacité	NIGHTMARE	CAUCHEMAR		data/moves/names.asm
Capacité	OCTAZOOKA	OCTAZOOKA	identique	data/moves/names.asm
Capacité	OUTRAGE	COLERE		data/moves/names.asm
Capacité	PAIN SPLIT	BALANCE		data/moves/names.asm
Capacité	PAY DAY	JACKPOT		data/moves/names.asm
Capacité	PECK	PICPIC		data/moves/names.asm
Capacité	PERISH SONG	REQUIEM		data/moves/names.asm
Capacité	PETAL DANCE	DANSE-FLEUR		data/moves/names.asm
Capacité	PIN MISSILE	DARD-NUEE		data/moves/names.asm
Capacité	POISON GAS	GAZ TOXIK		data/moves/names.asm
Capacité	POISON STING	DARD-VENIN		data/moves/names.asm
Capacité	POISONPOWDER	POUDRE TOXIK		data/moves/names.asm
Capacité	POUND	ECRAS'FACE		data/moves/names.asm
Capacité	POWDER SNOW	POUDREUSE		data/moves/names.asm
Capacité	PRESENT	CADEAU		data/moves/names.asm
Capacité	PROTECT	ABRI		data/moves/names.asm
Capacité	PSYBEAM	RAFALE PSY		data/moves/names.asm
Capacité	PSYCH UP	BOOST		data/moves/names.asm
Capacité	PSYCHIC	PSYKO		data/moves/names.asm
Capacité	PSYWAVE	VAGUE PSY		data/moves/names.asm
Capacité	PURSUIT	POURSUITE		data/moves/names.asm
Capacité	QUICK ATTACK	VIVE-ATTAQUE		data/moves/names.asm
Capacité	RAGE	FRENESIE		data/moves/names.asm
Capacité	RAIN DANCE	DANSE PLUIE		data/moves/names.asm
Capacité	RAPID SPIN	TOUR RAPIDE		data/moves/names.asm
Capacité	RAZOR LEAF	TRANCH'HERBE		data/moves/names.asm
Capacité	RAZOR WIND	COUPE-VENT		data/moves/names.asm
Capacité	RECOVER	SOIN		data/moves/names.asm
Capacité	REFLECT	PROTECTION		data/moves/names.asm
Capacité	REST	REPOS		data/moves/names.asm
Capacité	RETURN	RETOUR		data/moves/names.asm
Capacité	REVERSAL	CONTRE		data/moves/names.asm
Capacité	ROAR	HURLEMENT		data/moves/names.asm
Capacité	ROCK SLIDE	EBOULEMENT		data/moves/names.asm
Capacité	ROCK SMASH	ECLATE-ROC		data/moves/names.asm
Capacité	ROCK THROW	JET-PIERRES		data/moves/names.asm
Capacité	ROLLING KICK	MAWASHI GERI		data/moves/names.asm
Capacité	ROLLOUT	ROULADE		data/moves/names.asm
Capacité	SACRED FIRE	FEU SACRE		data/moves/names.asm
Capacité	SAFEGUARD	RUNE PROTECT		data/moves/names.asm
Capacité	SAND-ATTACK	JET DE SABLE		data/moves/names.asm
Capacité	SANDSTORM	TEMPETESABLE		data/moves/names.asm
Capacité	SCARY FACE	GRIMACE		data/moves/names.asm
Capacité	SCRATCH	GRIFFE		data/moves/names.asm
Capacité	SCREECH	GRINCEMENT		data/moves/names.asm
Capacité	SEISMIC TOSS	FRAPPE ATLAS		data/moves/names.asm
Capacité	SELFDESTRUCT	DESTRUCTION		data/moves/names.asm
Capacité	SHADOW BALL	BALL'OMBRE		data/moves/names.asm
Capacité	SHARPEN	AFFUTAGE		data/moves/names.asm
Capacité	SING	BERCEUSE		data/moves/names.asm
Capacité	SKETCH	GRIBOUILLE		data/moves/names.asm
Capacité	SKULL BASH	COUD'KRANE		data/moves/names.asm
Capacité	SKY ATTACK	PIQUE		data/moves/names.asm
Capacité	SLAM	SOUPLESSE		data/moves/names.asm
Capacité	SLASH	TRANCHE		data/moves/names.asm
Capacité	SLEEP POWDER	POUDRE DODO		data/moves/names.asm
Capacité	SLEEP TALK	BLABLA DODO		data/moves/names.asm
Capacité	SLUDGE	DETRITUS		data/moves/names.asm
Capacité	SLUDGE BOMB	BOMB-BEURK		data/moves/names.asm
Capacité	SMOG	PUREDPOIS		data/moves/names.asm
Capacité	SMOKESCREEN	BROUILLARD		data/moves/names.asm
Capacité	SNORE	RONFLEMENT		data/moves/names.asm
Capacité	SOFTBOILED	E-COQUE		data/moves/names.asm
Capacité	SOLARBEAM	LANCE-SOLEIL		data/moves/names.asm
Capacité	SONICBOOM	SONICBOOM	identique	data/moves/names.asm
Capacité	SPARK	ETINCELLE		data/moves/names.asm
Capacité	SPIDER WEB	TOILE		data/moves/names.asm
Capacité	SPIKE CANNON	PICANON		data/moves/names.asm
Capacité	SPIKES	PICOTS		data/moves/names.asm
Capacité	SPITE	DEPIT		data/moves/names.asm
Capacité	SPLASH	TREMPETTE		data/moves/names.asm
Capacité	SPORE	SPORE	identique	data/moves/names.asm
Capacité	STEEL WING	AILE D'ACIER		data/moves/names.asm
Capacité	STOMP	ECRASEMENT		data/moves/names.asm
Capacité	STRENGTH	FORCE		data/moves/names.asm
Capacité	STRING SHOT	SECRETION		data/moves/names.asm
Capacité	STRUGGLE	LUTTE		data/moves/names.asm
Capacité	STUN SPORE	PARA-SPORE		data/moves/names.asm
Capacité	SUBMISSION	SACRIFICE		data/moves/names.asm
