ligne_convertie	remplacement	motif
Être sur le toit,	Sur le toit, c'est	D4
c'est top.	vraiment top.	D4
Être pote avec les	Avoir un pote fan	D4
fans des oiseaux,	des oiseaux, c'est	D4
c'est bien…	bien…	D4
Êtes-vous un gar-	Vous êtes un gar-	D5
Être maîtresse	Le métier de	D4
d'école donne de	maîtresse donne de	D4
Être élève modèle	Un élève modèle	D4
Être honnête, ça	Jouer franc-jeu,	D4
c'est chouette!	ça c'est chouette!	D4
Être professeur ça	Le métier de prof	D4
Être un bon	Devenir un bon	D4
Être sûr de soi,	Il faut avoir	D4
c'est important.	confiance en soi.	D4
Les dresseurs d'ici	Ici les dresseurs	largeur
